FECHA,HORA,AMPM,WATERQ_OD_pc,DATASET_04_PP,WATERQ_OD_pc
01/08/2013,03:48:00,p.m.,62.1,DATASET_04_PP,WATERQ_OD_pc
01/08/2013,04:24:00,p.m.,61.1,DATASET_04_PP,WATERQ_OD_pc
01/08/2013,04:46:00,p.m.,59.6,DATASET_04_PP,WATERQ_OD_pc
01/08/2013,05:07:00,p.m.,59.9,DATASET_04_PP,WATERQ_OD_pc
02/02/2017,07:08:00,p.m.,98.8,DATASET_04_PP,WATERQ_OD_pc
02/06/2014,01:30:00,p.m.,75.8,DATASET_04_PP,WATERQ_OD_pc
02/06/2014,12:45:00,p.m.,80.5,DATASET_04_PP,WATERQ_OD_pc
02/11/2012,10:45:00,a.m.,82.1,DATASET_04_PP,WATERQ_OD_pc
02/11/2012,11:15:00,a.m.,86.2,DATASET_04_PP,WATERQ_OD_pc
02/11/2012,11:33:00,a.m.,85,DATASET_04_PP,WATERQ_OD_pc
02/11/2012,11:56:00,a.m.,84.6,DATASET_04_PP,WATERQ_OD_pc
05/01/2012,05:55:00,p.m.,89.8,DATASET_04_PP,WATERQ_OD_pc
05/02/2013,06:32:00,p.m.,95.2,DATASET_04_PP,WATERQ_OD_pc
05/02/2013,06:58:00,p.m.,105.1,DATASET_04_PP,WATERQ_OD_pc
05/02/2013,07:18:00,p.m.,92.3,DATASET_04_PP,WATERQ_OD_pc
05/02/2013,07:36:00,p.m.,97,DATASET_04_PP,WATERQ_OD_pc
07/08/2014,11:30:00,a.m.,68.4,DATASET_04_PP,WATERQ_OD_pc
07/08/2014,11:50:00,a.m.,70.5,DATASET_04_PP,WATERQ_OD_pc
15/12/2016,10:30:00,a.m.,96,DATASET_04_PP,WATERQ_OD_pc
16/08/2011,05:38:00,p.m.,85.4,DATASET_04_PP,WATERQ_OD_pc
16/08/2011,05:58:00,p.m.,84,DATASET_04_PP,WATERQ_OD_pc
16/08/2011,06:18:00,p.m.,82.6,DATASET_04_PP,WATERQ_OD_pc
20/06/2012,02:20:00,p.m.,70,DATASET_04_PP,WATERQ_OD_pc
20/06/2012,02:38:00,p.m.,74.1,DATASET_04_PP,WATERQ_OD_pc
20/06/2012,02:57:00,p.m.,78.7,DATASET_04_PP,WATERQ_OD_pc
20/06/2012,03:15:00,p.m.,78.7,DATASET_04_PP,WATERQ_OD_pc
22/02/2011,01:01:00,p.m.,80.5,DATASET_04_PP,WATERQ_OD_pc
22/02/2011,01:35:00,p.m.,75.4,DATASET_04_PP,WATERQ_OD_pc
22/02/2011,01:56:00,p.m.,71.8,DATASET_04_PP,WATERQ_OD_pc
22/02/2011,02:05:00,p.m.,71.3,DATASET_04_PP,WATERQ_OD_pc
22/04/2013,06:29:00,p.m.,82.7,DATASET_04_PP,WATERQ_OD_pc
22/04/2013,06:50:00,p.m.,65.3,DATASET_04_PP,WATERQ_OD_pc
22/08/2012,05:07:00,p.m.,95.2,DATASET_04_PP,WATERQ_OD_pc
22/08/2012,05:25:00,p.m.,94.7,DATASET_04_PP,WATERQ_OD_pc
22/08/2012,05:47:00,p.m.,94.7,DATASET_04_PP,WATERQ_OD_pc
26/11/2013,01:03:00,p.m.,99.8,DATASET_04_PP,WATERQ_OD_pc
26/11/2013,12:28:00,p.m.,101.4,DATASET_04_PP,WATERQ_OD_pc
